dataset	model	subset	seeds	position	c_begin	c_end	row	lambda	selected	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.4	False	0.2861035422343324	0.6902815622161671	0.2766439909297052	0.7074829931972789
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.5	False	0.22979109900090827	0.6830154405086285	0.23809523809523808	0.7029478458049887
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.6	False	0.1989100817438692	0.6630336058128973	0.20634920634920634	0.6802721088435374
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.7	False	0.16530426884650318	0.6330608537693007	0.17233560090702948	0.6462585034013606
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.8	False	0.1335149863760218	0.5803814713896458	0.14965986394557823	0.6099773242630385
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.9	False	0.111716621253406	0.5258855585831063	0.13151927437641722	0.5759637188208616
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	1.0	False	0.0971843778383288	0.4732061762034514	0.12244897959183673	0.5260770975056689
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	earliest-top5	0.0	True	0.08356039963669393	0.6085376930063578	0.08390022675736962	0.6190476190476191
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	soap		True	0.505903723887375	0.6975476839237057	0.4829931972789116	0.7188208616780045
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	base	0.0	True	0.8771929824561404	0.8925438596491229	0.8306010928961749	0.8524590163934427
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.1	False	0.875	0.8925438596491229	0.8306010928961749	0.8524590163934427
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.2	True	0.875	0.8925438596491229	0.8306010928961749	0.8524590163934427
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.3	False	0.8684210526315789	0.8881578947368421	0.825136612021858	0.8469945355191257
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.4	False	0.8662280701754386	0.8859649122807017	0.825136612021858	0.8524590163934427
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.5	False	0.8640350877192982	0.8859649122807017	0.825136612021858	0.8524590163934427
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.6	False	0.8640350877192982	0.8859649122807017	0.825136612021858	0.8579234972677596
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.7	False	0.8640350877192982	0.8859649122807017	0.825136612021858	0.8579234972677596
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.8	False	0.8574561403508774	0.8859649122807017	0.825136612021858	0.8579234972677596
correct-error	deepseek-8b	arc	17,18,19	act/13	0	3	temporal-z	0.9	False	0.8574561403508774	0.8859649122807017	0.825136612021858	0.8579234972677596
