column	with_gt	judge	method	step_acc	agent_acc	n_subsets	family	train_seed
TE-Cap	False	qwen3.5-9b	stepfinder.s42	0.17829457364341084	0.4728682170542636	1	stepfinder	42
TE-Cap	False	qwen3.5-9b	stepfinder.s43	0.2170542635658915	0.5426356589147286	1	stepfinder	43
TE-Cap	False	qwen3.5-9b	stepfinder.s44	0.11627906976744186	0.3875968992248062	1	stepfinder	44
TE-Cap	False	qwen3.5-9b	stepfinder.s45	0.20930232558139536	0.49612403100775193	1	stepfinder	45
TE-Cap	False	qwen3.5-9b	stepfinder.s46	0.1937984496124031	0.4883720930232558	1	stepfinder	46
TE-Cap	True	deepseek-8b	oat.s42	0.20155038759689922	0.5348837209302325	1	oat	42
TE-Cap	True	deepseek-8b	oat.s43	0.1937984496124031	0.5193798449612403	1	oat	43
TE-Cap	True	deepseek-8b	oat.s44	0.1550387596899225	0.49612403100775193	1	oat	44
TE-Cap	True	deepseek-8b	oat.s45	0.1627906976744186	0.5271317829457365	1	oat	45
TE-Cap	True	deepseek-8b	oat.s46	0.1937984496124031	0.5116279069767442	1	oat	46
TE-Cap	True	deepseek-8b	stepfinder.s42	0.2170542635658915	0.5581395348837209	1	stepfinder	42
TE-Cap	True	deepseek-8b	stepfinder.s43	0.1627906976744186	0.5348837209302326	1	stepfinder	43
TE-Cap	True	deepseek-8b	stepfinder.s44	0.031007751937984496	0.31007751937984496	1	stepfinder	44
TE-Cap	True	deepseek-8b	stepfinder.s45	0.18604651162790697	0.5038759689922481	1	stepfinder	45
TE-Cap	True	deepseek-8b	stepfinder.s46	0.15503875968992248	0.5658914728682171	1	stepfinder	46
TE-Cap	True	qwen3-embedding-0.6b	stepfinder.s42	0.17054263565891473	0.441860465116279	1	stepfinder	42
TE-Cap	True	qwen3-embedding-0.6b	stepfinder.s43	0.1627906976744186	0.5503875968992248	1	stepfinder	43
TE-Cap	True	qwen3-embedding-0.6b	stepfinder.s44	0.13953488372093023	0.44186046511627913	1	stepfinder	44
